"assay_date"	"CEL.file"
2011-11-23	"GSM1466636_89CD.CEL"
2012-08-08	"GSM1466637_89HFD.CEL"
2012-08-08	"GSM1466637_89HFD.CEL"
2011-11-23	"GSM1466638_90CD.CEL"
2011-11-23	"GSM1466638_90CD.CEL"
2011-11-23	"GSM1466639_90HFD.CEL"
2011-11-23	"GSM1466639_90HFD.CEL"
2011-11-22	"GSM1466640_92CD.CEL"
2011-11-22	"GSM1466640_92CD.CEL"
2011-11-22	"GSM1466641_95CD.CEL"
2011-11-22	"GSM1466641_95CD.CEL"
2011-11-23	"GSM1466642_96CD.CEL"
2011-11-23	"GSM1466642_96CD.CEL"
2011-11-23	"GSM1466643_96HFD.CEL"
2011-11-23	"GSM1466643_96HFD.CEL"
2012-08-07	"GSM1466644_97CD.CEL"
2012-08-07	"GSM1466644_97CD.CEL"
2012-08-07	"GSM1466645_97HFD.CEL"
2012-08-07	"GSM1466645_97HFD.CEL"
2012-08-07	"GSM1466646_98CD.CEL"
2012-08-07	"GSM1466646_98CD.CEL"
2012-08-07	"GSM1466647_98HFD.CEL"
2012-08-07	"GSM1466647_98HFD.CEL"
2012-08-07	"GSM1466648_99CD.CEL"
2012-08-07	"GSM1466648_99CD.CEL"
2012-08-07	"GSM1466649_99HFD.CEL"
2012-08-07	"GSM1466649_99HFD.CEL"
2012-08-08	"GSM1466650_100CD.CEL"
2012-08-08	"GSM1466650_100CD.CEL"
2011-10-27	"GSM1466651_100HFD.CEL"
2011-10-27	"GSM1466651_100HFD.CEL"
2012-08-08	"GSM1466652_101CD.CEL"
2012-08-08	"GSM1466652_101CD.CEL"
2012-08-07	"GSM1466653_103CD.CEL"
2012-08-07	"GSM1466653_103CD.CEL"
2012-08-07	"GSM1466654_103HFD.CEL"
2012-08-07	"GSM1466654_103HFD.CEL"
2012-08-08	"GSM1466655_C57CD.CEL"
2012-08-08	"GSM1466655_C57CD.CEL"
2011-11-22	"GSM1466656_C57HFD.CEL"
2011-11-22	"GSM1466656_C57HFD.CEL"
2011-11-22	"GSM1466657_DBACD.CEL"
2011-11-22	"GSM1466657_DBACD.CEL"
2011-11-22	"GSM1466658_DBAHFD.CEL"
2011-11-22	"GSM1466658_DBAHFD.CEL"
