sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: genotype_qc	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: sample_processing_batch	characteristics: extracted_RNA_concentration	characteristics: extracted_RNA_concentration_unit	characteristics: assay_date	characteristics: notes	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD62_CD_quadriceps	GSM1466600_62CD.CEL	BXD62-quadriceps-CD	GSM1466600_62CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD62	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	16	ng/uL	2012-08-07		GSM1466600	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD62 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466600/suppl/GSM1466600_62CD.CEL.gz
BXD62_HFD_quadriceps	GSM1466601_62HFD.CEL	BXD62-quadriceps-HFD	GSM1466601_62HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD62	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	46	ng/uL	2011-11-22		GSM1466601	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD62 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466601/suppl/GSM1466601_62HFD.CEL.gz
BXD63_CD_quadriceps	GSM1466602_63CD.CEL	BXD63-quadriceps-CD	GSM1466602_63CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD63	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	59	ng/uL	2011-11-22		GSM1466602	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD63 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466602/suppl/GSM1466602_63CD.CEL.gz
BXD63_HFD_quadriceps	GSM1466603_63HFD.CEL	BXD63-quadriceps-HFD	GSM1466603_63HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD63	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	70	ng/uL	2011-11-22		GSM1466603	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD63 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466603/suppl/GSM1466603_63HFD.CEL.gz
BXD64_CD_quadriceps	GSM1466604_64CD.CEL	BXD64-quadriceps-CD	GSM1466604_64CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD64	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466604	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD64 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466604/suppl/GSM1466604_64CD.CEL.gz
BXD64_HFD_quadriceps	GSM1466605_64HFD.CEL	BXD64-quadriceps-HFD	GSM1466605_64HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD64	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466605	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD64 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466605/suppl/GSM1466605_64HFD.CEL.gz
BXD65_CD_quadriceps	GSM1466606_65CD.CEL	BXD65-quadriceps-CD	GSM1466606_65CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD65	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	196	ng/uL	2011-11-22		GSM1466606	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD65 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466606/suppl/GSM1466606_65CD.CEL.gz
BXD65_HFD_quadriceps	GSM1466607_65HFD.CEL	BXD65-quadriceps-HFD	GSM1466607_65HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD65	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	171	ng/uL	2011-11-22		GSM1466607	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD65 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466607/suppl/GSM1466607_65HFD.CEL.gz
BXD66_CD_quadriceps	GSM1466608_66CD.CEL	BXD66-quadriceps-CD	GSM1466608_66CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD66	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	36	ng/uL	2012-08-08		GSM1466608	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD66 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466608/suppl/GSM1466608_66CD.CEL.gz
BXD66_HFD_quadriceps	GSM1466609_66HFD.CEL	BXD66-quadriceps-HFD	GSM1466609_66HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD66	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	60	ng/uL	2012-08-08		GSM1466609	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD66 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466609/suppl/GSM1466609_66HFD.CEL.gz
BXD68_CD_quadriceps	GSM1466610_68CD.CEL	BXD68-quadriceps-CD	GSM1466610_68CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD68	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-08		GSM1466610	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD68 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466610/suppl/GSM1466610_68CD.CEL.gz
BXD68_HFD_quadriceps	GSM1466611_68HFD.CEL	BXD68-quadriceps-HFD	GSM1466611_68HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD68	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466611	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD68 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466611/suppl/GSM1466611_68HFD.CEL.gz
BXD69_CD_quadriceps	GSM1466612_69CD.CEL	BXD69-quadriceps-CD	GSM1466612_69CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD69	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	202	ng/uL	2011-11-22		GSM1466612	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD69 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466612/suppl/GSM1466612_69CD.CEL.gz
BXD69_HFD_quadriceps	GSM1466613_69HFD.CEL	BXD69-quadriceps-HFD	GSM1466613_69HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD69	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466613	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD69 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466613/suppl/GSM1466613_69HFD.CEL.gz
BXD70_CD_quadriceps	GSM1466614_70CD.CEL	BXD70-quadriceps-CD	GSM1466614_70CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD70	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	30	ng/uL	2012-08-08		GSM1466614	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD70 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466614/suppl/GSM1466614_70CD.CEL.gz
BXD70_HFD_quadriceps	GSM1466615_70HFD.CEL	BXD70-quadriceps-HFD	GSM1466615_70HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD70	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	22	ng/uL	2012-08-08		GSM1466615	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD70 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466615/suppl/GSM1466615_70HFD.CEL.gz
BXD71_CD_quadriceps	GSM1466616_71CD.CEL	BXD71-quadriceps-CD	GSM1466616_71CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD71	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466616	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD71 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466616/suppl/GSM1466616_71CD.CEL.gz
BXD71_HFD_quadriceps	GSM1466617_71HFD.CEL	BXD71-quadriceps-HFD	GSM1466617_71HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD71	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-08		GSM1466617	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD71 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466617/suppl/GSM1466617_71HFD.CEL.gz
BXD73_CD_quadriceps	GSM1466618_73CD.CEL	BXD73-quadriceps-CD	GSM1466618_73CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD73	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	62	ng/uL	2011-11-22		GSM1466618	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD73 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466618/suppl/GSM1466618_73CD.CEL.gz
BXD73_HFD_quadriceps	GSM1466619_73HFD.CEL	BXD73-quadriceps-HFD	GSM1466619_73HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD73	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	62	ng/uL	2012-08-08		GSM1466619	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD73 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466619/suppl/GSM1466619_73HFD.CEL.gz
BXD75_CD_quadriceps	GSM1466620_75CD.CEL	BXD75-quadriceps-CD	GSM1466620_75CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD75	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	27	ng/uL	2012-08-08		GSM1466620	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD75 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466620/suppl/GSM1466620_75CD.CEL.gz
BXD75_HFD_quadriceps	GSM1466621_75HFD.CEL	BXD75-quadriceps-HFD	GSM1466621_75HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD75	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	38	ng/uL	2012-08-08		GSM1466621	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD75 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466621/suppl/GSM1466621_75HFD.CEL.gz
BXD79_CD_quadriceps	GSM1466622_79CD.CEL	BXD79-quadriceps-CD	GSM1466622_79CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD79	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466622	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD79 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466622/suppl/GSM1466622_79CD.CEL.gz
BXD79_HFD_quadriceps	GSM1466623_79HFD.CEL	BXD79-quadriceps-HFD	GSM1466623_79HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD79	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466623	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD79 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466623/suppl/GSM1466623_79HFD.CEL.gz
BXD80_CD_quadriceps	GSM1466624_80CD.CEL	BXD80-quadriceps-CD	GSM1466624_80CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD80	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	29	ng/uL	2011-11-22		GSM1466624	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD80 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466624/suppl/GSM1466624_80CD.CEL.gz
BXD80_HFD_quadriceps	GSM1466625_80HFD.CEL	BXD80-quadriceps-HFD	GSM1466625_80HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD80	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	61	ng/uL	2011-11-23		GSM1466625	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD80 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466625/suppl/GSM1466625_80HFD.CEL.gz
BXD81_CD_quadriceps	GSM1466626_81CD.CEL	BXD81-quadriceps-CD	GSM1466626_81CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD81	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466626	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD81 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466626/suppl/GSM1466626_81CD.CEL.gz
BXD81_HFD_quadriceps	GSM1466627_81HFD.CEL	BXD81-quadriceps-HFD	GSM1466627_81HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD81	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12			2012-08-07		GSM1466627	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD81 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466627/suppl/GSM1466627_81HFD.CEL.gz
BXD83_CD_quadriceps	GSM1466628_83CD.CEL	BXD83-quadriceps-CD	GSM1466628_83CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD83	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	45	ng/uL	2012-08-08		GSM1466628	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD83 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466628/suppl/GSM1466628_83CD.CEL.gz
BXD83_HFD_quadriceps	GSM1466629_83HFD.CEL	BXD83-quadriceps-HFD	GSM1466629_83HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD83	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11	35	ng/uL	2011-11-23		GSM1466629	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD83 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466629/suppl/GSM1466629_83HFD.CEL.gz
BXD84_CD_quadriceps	GSM1466630_84CD.CEL	BXD84-quadriceps-CD	GSM1466630_84CD.CEL.gz	quadriceps, chow diet	Mus musculus	10090	BXD84	pass	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Aug12	173	ng/uL	2012-08-07		GSM1466630	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD84 mice fed on chow diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466630/suppl/GSM1466630_84CD.CEL.gz
BXD84_HFD_quadriceps	GSM1466631_84HFD.CEL	BXD84-quadriceps-HFD	GSM1466631_84HFD.CEL.gz	quadriceps, high fat diet	Mus musculus	10090	BXD84	pass	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	quadriceps	http://purl.obolibrary.org/obo/MA_0002363	Nov11			2011-11-22		GSM1466631	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of quadriceps samples collected on 29 weeks old male BXD84 mice fed on high fat diet	RNAse-free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466631/suppl/GSM1466631_84HFD.CEL.gz
